p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1453808089,0.1013467303,0.0798339384,0.0579635939,0.0879340217,0.1017662245,0.1289333885,0.1594522345,0.1373890594,0.02381324099155356,0.0237498
0.1385544748,0.1084887363,0.0850139171,0.0552305436,0.082958341,0.1032996037,0.1243469934,0.1499957916,0.1521115986,0.02380738499386209,0.0237498
0.1469024964,0.1038103486,0.0848292896,0.0545098518,0.0973546058,0.1093829741,0.1200158097,0.1254026522,0.1577919718,0.023813248581556194,0.0237498
0.1313711731,0.0979428352,0.0801673989,0.0588188545,0.0897692157,0.1027420719,0.1291070102,0.1490763956,0.1610050449,0.02380170357769555,0.0237498
0.1458705496,0.1035138546,0.0764662215,0.0527508544,0.0818905706,0.102818123,0.1333203207,0.1397582381,0.1636112675,0.02379523819781926,0.0237498
0.1467643341,0.1028752292,0.07501501,0.0517652327,0.0795854835,0.1020277601,0.1343356616,0.1394405917,0.1681906972,0.02379865441965018,0.0237498
0.1349799606,0.0984976724,0.0812770204,0.0512085484,0.088780557,0.1008179966,0.1311858234,0.1514942913,0.1617581299,0.023792986053864852,0.0237498
0.1335038176,0.0969670251,0.0810726366,0.05009807,0.0883041801,0.0997734819,0.1315776819,0.1536073714,0.1650957354,0.023796429080731766,0.0237498
0.1291883665,0.1040290294,0.075975768,0.0544936559,0.086886239,0.0947209374,0.1239266091,0.1588287824,0.1719506124,0.023788643191850343,0.0237498
0.1268783899,0.1038980542,0.0747727093,0.0542557309,0.0861350123,0.0926940883,0.12281348,0.1619482341,0.176604301,0.023790922865386192,0.0237498
0.1295888283,0.095743416,0.0770748751,0.0503298519,0.0879955494,0.1053134691,0.1223126953,0.1664866343,0.1651546807,0.02378090314321454,0.0237498
0.1277896119,0.0940131232,0.0763117567,0.0493204335,0.0876028523,0.1057401876,0.1210915398,0.1705239146,0.1676065804,0.023781840804482573,0.0237498
0.1252208738,0.1018796334,0.0747227195,0.0545427938,0.0803197789,0.0964962074,0.1362722296,0.1789921,0.1515536636,0.023801266061475097,0.0237498
0.1219934671,0.1044593221,0.0784970448,0.0502969191,0.0879143622,0.1028442558,0.12911405,0.1496665439,0.175214035,0.023782642682802342,0.0237498
0.1355749258,0.0929483205,0.0723953192,0.04723128,0.0721239684,0.0934766215,0.1395183452,0.1746767338,0.1720544855,0.02379495515356726,0.0237498
0.1265461514,0.0923324822,0.0691978445,0.0493068757,0.0874542801,0.0975767831,0.1390011535,0.1674804082,0.1711040213,0.023771261727654133,0.0237498
0.1252263624,0.0905568428,0.0674600074,0.048656029,0.087948632,0.0969484018,0.1406109034,0.1694013426,0.1731914786,0.023772814280664866,0.0237498
0.1325836674,0.1015223474,0.0715690514,0.0436598437,0.080208771,0.0969887894,0.136477573,0.1724508131,0.1645391435,0.02380792180296611,0.0237498
0.1316299112,0.0987055393,0.0783345999,0.0555876141,0.087731604,0.1015155305,0.1306778503,0.1540585169,0.1617588338,0.023785677904224665,0.0237498
0.1401919836,0.0968908527,0.0777751314,0.0480741004,0.0912735334,0.1043318992,0.1280941939,0.1370453277,0.1763229778,0.023803188239509283,0.0237498
0.1283771159,0.1008276103,0.0753663948,0.0531788993,0.0826293378,0.0981485232,0.1345476255,0.1701480309,0.1567764624,0.023784798635500842,0.0237498
0.123808308,0.0933683129,0.0748788629,0.0524523289,0.0780760164,0.0945268073,0.1223109926,0.1596651626,0.2009132084,0.023780726500635445,0.0237498
0.1131100391,0.0924818714,0.0752980476,0.0504190081,0.086736035,0.0948952224,0.127416457,0.182116587,0.1775267324,0.023780776427120346,0.0237498
0.1172044971,0.1028216727,0.0801194138,0.05675288,0.1003814436,0.1045338107,0.1179870652,0.1495483414,0.1706508753,0.023802920716317198,0.0237498
0.1317899621,0.0949828073,0.0739869582,0.0491933141,0.0779467597,0.0957549087,0.1350815081,0.1694990259,0.1717647559,0.02377917450481512,0.0237498
0.1177958652,0.0963754901,0.0697567263,0.0521471959,0.0810258688,0.0959958759,0.1276276239,0.1765687827,0.1827065712,0.023778479919839262,0.0237498
0.1206508591,0.0890817355,0.0734071282,0.0483571679,0.0814344802,0.102270339,0.1356370229,0.1737695289,0.1753917381,0.02376525000245865,0.0237498
0.1197005271,0.0874177065,0.0731211861,0.0476741593,0.080827785,0.1031104972,0.1369403989,0.1754327252,0.1757750148,0.023765906969166414,0.0237498
0.1159757006,0.0923594265,0.0700604709,0.0457859972,0.0793010111,0.0957106102,0.1299864741,0.1825454736,0.1882748359,0.023762919898510662,0.0237498
0.1142801731,0.0916724449,0.0691641061,0.0447242631,0.0783877156,0.0950818644,0.1299114735,0.185631177,0.1911467823,0.023763545449160754,0.0237498
0.1164084286,0.0884150487,0.0717848914,0.0465025689,0.0835466711,0.0984591572,0.1251989027,0.1695780606,0.2001062708,0.023762408932175683,0.0237498
0.1151082182,0.0870665796,0.0713959286,0.0457774542,0.083646583,0.0984924015,0.1241832092,0.1695164972,0.2048131285,0.023763757010289814,0.0237498
0.1214314289,0.081663242,0.0674070369,0.0485124989,0.0775669601,0.09304278,0.1296443731,0.1933583792,0.1873733009,0.023778028021822047,0.0237498
0.1120585291,0.0866940002,0.0664278095,0.0480366647,0.0749406001,0.0876468746,0.1380438066,0.1835759761,0.2025757391,0.0237676226570223,0.0237498
0.1284222919,0.0886006309,0.0661023972,0.0473781876,0.0733958426,0.0964218497,0.1354346821,0.1681651048,0.1960790132,0.02377236858579308,0.0237498
